id_eleve,id_binome,jour_preference,jour_similaire,annee,periode_stage,periode_stage_ext
65611,45411,vendredi,0,DFTCC,4,0
42811,62811,mardi,0,DFAS01,4,0
62811,42811,mardi,4,DFTCC,3,0
42411,62412,mardi,8,DFAS01,3,0
62412,42411,mardi,8,DFTCC,1,0
43811,63611,mercredi,0,DFAS01,1,0
63611,43811,mercredi,8,DFTCC,1,0
41811,61811,lundi,8,DFAS01,4,0
61811,41811,lundi,6,DFTCC,3,0
41411,61511,lundi,4,DFAS01,2,0
61511,41411,lundi,4,DFTCC,4,0
43011,63411,mercredi,8,DFAS01,2,0
63411,43011,mercredi,0,DFTCC,3,0
45511,65511,vendredi,0,DFAS01,1,0
65511,45511,vendredi,5,DFTCC,2,0
41412,61512,lundi,6,DFAS01,2,0
61512,41412,lundi,4,DFTCC,4,0
44611,64011,jeudi,8,DFAS01,3,0
64011,44611,jeudi,5,DFTCC,4,0
43012,63511,mercredi,8,DFAS01,4,0
63511,43012,mercredi,0,DFTCC,2,0
44511,64811,jeudi,0,DFAS01,1,0
64811,44511,jeudi,4,DFTCC,4,0
41611,61411,lundi,8,DFAS01,3,0
61411,41611,lundi,5,DFTCC,2,0
41612,61611,lundi,5,DFAS01,2,0
61611,41612,lundi,5,DFTCC,4,0
42412,62011,mardi,8,DFAS01,1,0
62011,42412,mardi,6,DFTCC,2,0
42611,62413,mardi,6,DFAS01,2,0
62413,42611,mardi,6,DFTCC,2,0
43013,63612,mercredi,0,DFAS01,4,0
63612,43013,mercredi,6,DFTCC,1,0
42012,62511,mardi,0,DFAS01,1,0
62511,42012,mardi,0,DFTCC,3,0
41011,61612,lundi,4,DFAS01,3,0
61612,41011,lundi,8,DFTCC,4,0
43611,63811,mercredi,6,DFAS01,1,0
63811,43611,mercredi,0,DFTCC,3,0
45412,65612,vendredi,4,DFAS01,1,0
65612,45412,vendredi,5,DFTCC,2,0
42612,62812,mardi,8,DFAS01,4,0
62812,42612,mardi,0,DFTCC,1,0
45512,65411,vendredi,0,DFAS01,2,0
65411,45512,vendredi,4,DFTCC,3,0
45011,65011,vendredi,6,DFAS01,3,0
65011,45011,vendredi,4,DFTCC,3,0
44011,64511,jeudi,8,DFAS01,4,0
64511,44011,jeudi,4,DFTCC,2,0
45413,65613,vendredi,6,DFAS01,1,0
65613,45413,vendredi,4,DFTCC,1,0
45414,65512,vendredi,6,DFAS01,4,0
65512,45414,vendredi,4,DFTCC,3,0
44612,64411,jeudi,0,DFAS01,1,0
64411,44612,jeudi,8,DFTCC,4,0
41812,61011,lundi,6,DFAS01,2,0
61011,41812,lundi,5,DFTCC,1,0
41413,61613,lundi,5,DFAS01,4,0
61613,41413,lundi,6,DFTCC,1,0
41012,61614,lundi,8,DFAS01,2,0
61614,41012,lundi,6,DFTCC,4,0
43014,63011,mercredi,8,DFAS01,1,0
63011,43014,mercredi,0,DFTCC,2,0
42013,62012,mardi,4,DFAS01,4,0
62012,42013,mardi,4,DFTCC,4,0
45012,65513,vendredi,5,DFAS01,4,0
65513,45012,vendredi,5,DFTCC,3,0
42413,62512,mardi,5,DFAS01,4,0
62512,42413,mardi,8,DFTCC,1,0
45013,65811,vendredi,6,DFAS01,3,0
65811,45013,vendredi,5,DFTCC,2,0
45611,65012,vendredi,6,DFAS01,1,0
65012,45611,vendredi,0,DFTCC,4,0
41013,61615,lundi,4,DFAS01,4,0
61615,41013,lundi,4,DFTCC,4,0
44012,64611,jeudi,8,DFAS01,3,0
64611,44012,jeudi,0,DFTCC,4,0
44411,64512,jeudi,4,DFAS01,3,0
64512,44411,jeudi,5,DFTCC,2,0
45415,65614,vendredi,5,DFAS01,1,0
65614,45415,vendredi,5,DFTCC,2,0
43612,63012,mercredi,0,DFAS01,4,0
63012,43612,mercredi,6,DFTCC,4,0
44512,64513,jeudi,8,DFAS01,4,0
64513,44512,jeudi,4,DFTCC,4,0
44513,64612,jeudi,8,DFAS01,1,0
64612,44513,jeudi,8,DFTCC,4,0
43411,63013,mercredi,6,DFAS01,1,0
63013,43411,mercredi,0,DFTCC,1,0
45612,65412,vendredi,0,DFAS01,3,0
65412,45612,vendredi,0,DFTCC,3,0
45811,65514,vendredi,6,DFAS01,3,0
65514,45811,vendredi,0,DFTCC,2,0
42414,62013,mardi,0,DFAS01,4,0
62013,42414,mardi,6,DFTCC,2,0
42812,62611,mardi,6,DFAS01,3,0
62611,42812,mardi,5,DFTCC,4,0
44811,64514,jeudi,4,DFAS01,4,0
64514,44811,jeudi,5,DFTCC,1,0
45613,65615,vendredi,6,DFAS01,1,0
65615,45613,vendredi,5,DFTCC,4,0
41613,61616,lundi,8,DFAS01,3,0
61616,41613,lundi,4,DFTCC,1,0
44013,64012,jeudi,4,DFAS01,2,0
64012,44013,jeudi,4,DFTCC,4,0
44514,64613,jeudi,4,DFAS01,2,0
64613,44514,jeudi,5,DFTCC,2,0
43812,63014,mercredi,8,DFAS01,4,0
63014,43812,mercredi,0,DFTCC,1,0
43613,63812,mercredi,0,DFAS01,1,0
63812,43613,mercredi,0,DFTCC,1,0
44412,64812,jeudi,4,DFAS01,4,0
64812,44412,jeudi,4,DFTCC,2,0
41813,61513,lundi,4,DFAS01,3,0
61513,41813,lundi,8,DFTCC,2,0
43614,63015,mercredi,0,DFAS01,4,0
63015,43614,mercredi,6,DFTCC,4,0
61812,61412,lundi,6,DFTCC,1,0
61412,61812,lundi,4,DFTCC,4,0
62612,62014,mardi,5,DFTCC,1,0
62014,62612,mardi,5,DFTCC,2,0
65616,65413,vendredi,5,DFTCC,3,0
65413,65616,vendredi,0,DFTCC,4,0
62613,62813,mardi,0,DFTCC,3,0
62813,62613,mardi,0,DFTCC,4,0
63512,63813,mercredi,6,DFTCC,3,0
63813,63512,mercredi,6,DFTCC,2,0
65013,65617,vendredi,5,DFTCC,4,0
65617,65013,vendredi,6,DFTCC,3,0
63814,63513,mercredi,0,DFTCC,3,0
63513,63814,mercredi,8,DFTCC,2,0
61617,61514,lundi,8,DFTCC,2,0
61514,61617,lundi,8,DFTCC,2,0
61515,61413,lundi,6,DFTCC,3,0
61413,61515,lundi,5,DFTCC,4,0
63412,63016,mercredi,8,DFTCC,3,0
63016,63412,mercredi,6,DFTCC,2,0
61618,61012,lundi,5,DFTCC,4,0
61012,61618,lundi,4,DFTCC,4,0
63815,63413,mercredi,8,DFTCC,4,0
63413,63815,mercredi,8,DFTCC,3,0
61619,61813,lundi,5,DFTCC,2,0
61813,61619,lundi,4,DFTCC,3,0
64614,64813,jeudi,5,DFTCC,4,0
64813,64614,jeudi,5,DFTCC,2,0
64814,64515,jeudi,5,DFTCC,2,0
64515,64814,jeudi,5,DFTCC,2,0
63414,63613,mercredi,8,DFTCC,2,0
63613,63414,mercredi,8,DFTCC,4,0
62015,62414,mardi,0,DFTCC,4,0
62414,62015,mardi,0,DFTCC,3,0
65515,65516,vendredi,5,DFTCC,4,0
65516,65515,vendredi,5,DFTCC,4,0
62016,62017,mardi,0,DFTCC,4,0
62017,62016,mardi,4,DFTCC,4,0
65014,65015,vendredi,5,DFTCC,4,0
65015,65014,vendredi,4,DFTCC,4,0
