id_eleve,nom,id_binome,jour_preference,annee,periode_stage,periode_stage_ext
244,Eleve_244_DFTCC,44,jeudi,DFTCC,4,0
245,Eleve_245_DFTCC,45,vendredi,DFTCC,1,0
246,Eleve_246_DFTCC,46,vendredi,DFTCC,2,0
247,Eleve_247_DFTCC,47,mercredi,DFTCC,3,0
248,Eleve_248_DFTCC,48,mercredi,DFTCC,4,0
249,Eleve_249_DFTCC,49,mercredi,DFTCC,1,0
250,Eleve_250_DFTCC,50,lundi,DFTCC,2,0
251,Eleve_251_DFTCC,51,mercredi,DFTCC,3,0
252,Eleve_252_DFTCC,52,lundi,DFTCC,4,0
253,Eleve_253_DFTCC,53,mardi,DFTCC,1,0
254,Eleve_254_DFTCC,54,mercredi,DFTCC,2,0
255,Eleve_255_DFTCC,55,vendredi,DFTCC,3,0
256,Eleve_256_DFTCC,56,jeudi,DFTCC,4,0
257,Eleve_257_DFTCC,57,jeudi,DFTCC,1,0
258,Eleve_258_DFTCC,58,jeudi,DFTCC,2,0
259,Eleve_259_DFTCC,59,lundi,DFTCC,3,0
260,Eleve_260_DFTCC,60,mercredi,DFTCC,4,0
261,Eleve_261_DFTCC,61,mercredi,DFTCC,1,0
262,Eleve_262_DFTCC,62,lundi,DFTCC,2,0
263,Eleve_263_DFTCC,63,mercredi,DFTCC,3,0
264,Eleve_264_DFTCC,64,mercredi,DFTCC,4,0
265,Eleve_265_DFTCC,65,vendredi,DFTCC,1,0
266,Eleve_266_DFTCC,66,mercredi,DFTCC,2,0
267,Eleve_267_DFTCC,67,vendredi,DFTCC,3,0
268,Eleve_268_DFTCC,68,mercredi,DFTCC,4,0
269,Eleve_269_DFTCC,69,lundi,DFTCC,1,0
270,Eleve_270_DFTCC,70,mardi,DFTCC,2,0
271,Eleve_271_DFTCC,71,mardi,DFTCC,3,0
272,Eleve_272_DFTCC,72,lundi,DFTCC,4,0
273,Eleve_273_DFTCC,73,lundi,DFTCC,1,0
274,Eleve_274_DFTCC,74,jeudi,DFTCC,2,0
275,Eleve_275_DFTCC,75,jeudi,DFTCC,3,0
276,Eleve_276_DFTCC,76,mercredi,DFTCC,4,0
277,Eleve_277_DFTCC,77,mercredi,DFTCC,1,0
278,Eleve_278_DFTCC,78,mardi,DFTCC,2,0
279,Eleve_279_DFTCC,79,mardi,DFTCC,3,0
280,Eleve_280_DFTCC,80,jeudi,DFTCC,4,0
281,Eleve_281_DFTCC,81,jeudi,DFTCC,1,0
282,Eleve_282_DFTCC,82,lundi,DFTCC,2,0
283,Eleve_283_DFTCC,83,lundi,DFTCC,3,0
284,Eleve_284_DFTCC,84,jeudi,DFTCC,4,0
285,Eleve_285_DFTCC,85,lundi,DFTCC,1,0
286,Eleve_286_DFTCC,86,lundi,DFTCC,2,0
287,Eleve_287_DFTCC,87,mardi,DFTCC,3,0
288,Eleve_288_DFTCC,88,mercredi,DFTCC,4,0
289,Eleve_289_DFTCC,89,mercredi,DFTCC,1,0
290,Eleve_290_DFTCC,90,mercredi,DFTCC,2,0
291,Eleve_291_DFTCC,91,mercredi,DFTCC,3,0
292,Eleve_292_DFTCC,92,mardi,DFTCC,4,0
293,Eleve_293_DFTCC,93,jeudi,DFTCC,1,0
294,Eleve_294_DFTCC,94,mardi,DFTCC,2,0
295,Eleve_295_DFTCC,95,jeudi,DFTCC,3,0
296,Eleve_296_DFTCC,96,jeudi,DFTCC,4,0
297,Eleve_297_DFTCC,97,lundi,DFTCC,1,0
298,Eleve_298_DFTCC,98,lundi,DFTCC,2,0
299,Eleve_299_DFTCC,99,mardi,DFTCC,3,0
300,Eleve_300_DFTCC,100,vendredi,DFTCC,4,0
